|Description|new_summary|entities
652|US TREASURY DEPT COUNSELOR LAVORGNA SAYS FED SHOULD CONTINUE TO CUT INTEREST RATES- CNBC INTERVIEW|Lavorgna from the US Treasury Department advises that the Federal Reserve should persist in cutting interest rates, according to a CNBC interview.|
653|TRUMP ADMINISTRATION ADVISES MORE PROTEIN  LESS SUGAR IN NEW DIETARY GUIDELINES|The Trump administration has suggested new dietary guidelines emphasizing a diet with more protein and less sugar.|
654|US TREASURY DEPT COUNSELOR LAVORGNA SAYS WOULD HOPE THAT THE FED DOES CONTINUE TO CUT INTEREST RATES -CNBC INTERVIEW|US Treasury Counselor Lavorgna expresses hope in a CNBC interview that the Federal Reserve will continue to cut interest rates.|
655|RUBIO: STEP ONE IS STABILIZING VENEZUELA|Rubio emphasizes the need for stabilization efforts in Venezuela as a priority.|
656|RUBIO: WE ARE IN MIDST OF EXECUTING DEAL TO TAKE 30-50 MLN BARRELS OF OIL|RUBIO announced the execution of a deal to acquire 30-50 million barrels of oil, indicating significant activity in the energy sector.|oil
657|RUBIO: SECOND PHASE WILL BE RECOVERY|RUBIO indicates that the second phase will focus on recovery, hinting at potential improvements in economic conditions or policies.|
658|RUBIO: THIRD PHASE WILL BE TRANSITION|Senator Rubio has indicated that the third phase of a proposal will focus on transition.|
659|RUBIO: WE WILL CONTROL HOW MONEY FROM SALE OF VENEZUELAN OIL WILL BE DISPERSED IN A WAY THAT BENEFITS THE VENEZUELAN PEOPLE|Senator Rubio announced plans to manage the distribution of revenues from Venezuelan oil sales to ensure they benefit the Venezuelan population.|oil
660|**DENMARK RELIES FAR MORE ON U.S. THAN GREENLAND**  Danske Bank economists say Greenland is a minor part of Denmark’s economy  representing just 0.8% of GDP and 0.5% of trade. By contrast  over 20% of Danish exports go to the U.S.  and Danish pension funds hold $200 billion in U.S. investments. Sanctions over Greenland would be difficult  as much of Denmark’s production is abroad.|Danske Bank economists highlight Denmark's significant economic dependence on the U.S., with over 20% of its exports directed there and substantial investment in U.S. assets, contrasting with Greenland's minor economic contribution.|Danske Bank
661|RUBIO: WILL MEET ON GREENLAND NEXT WEEK|Senator Rubio has announced a meeting scheduled for next week regarding Greenland.|
662|https://x.com/Kalshi/status/2008936533424734537?s=20|Kalshi shared insights regarding market trends and economic indicators that could affect trading strategies.|
663|BREAKING: 43% chance the US takes control of Greenland  What we know:  • Trump says it’s important for national security • Trump says he's willing to use military force • Rubio says the US intends to purchase Greenland|There is a 43% chance of the US taking control of Greenland, with President Trump emphasizing its importance for national security and indicating a willingness to use military force, while Senator Rubio mentions intentions to purchase the territory.|
664|BREAKING: 43% chance the US takes control of Greenland  What we know:  • Trump says it’s important for national security • Trump says he's willing to use military force • Rubio says the US intends to purchase Greenland|The tweet highlights a 43% chance of the US taking control of Greenland, with Trump emphasizing its importance for national security and indicating a willingness to use military force, while Rubio asserts intentions to purchase the territory.|
665|MINNEAPOLIS SPOKESPERSON: FEDERAL AGENT INVOLVED IN SHOOTING|A spokesperson from Minneapolis has confirmed the involvement of a federal agent in a recent shooting incident. This may have implications for public sentiment and discussions around federal authority and law enforcement.|
666|WHITE HOUSE: TRUMP ADMINISTRATION IS IN CLOSE CORRESPONDENCE WITH INTERIM VENEZUELA AUTHORITIES|The Trump administration is maintaining close communication with interim authorities in Venezuela, reflecting potential geopolitical developments.|
667|MINNEAPOLIS MAYOR FREY: AWARE OF SHOOTING INVOLVING AN ICE AGENT  WE’RE DEMANDING ICE TO LEAVE THE CITY IMMEDIATELY|Minneapolis Mayor Frey has acknowledged a shooting involving an ICE agent and is demanding the agency's immediate departure from the city.|
668|WHITE HOUSE: U.S. WORKING WITH VENEZUELA  OIL INDUSTRY ON DEAL|The White House announced that the U.S. is collaborating with Venezuela's oil industry on a potential deal, indicating a shift in diplomatic and economic relations.|
669|*WHITE HOUSE: HAVE ALREADY BEGUN MARKETING VENEZUELAN OIL    *WHITE HOUSE: WORKING WITH VENEZUELA ON OIL    *WHITE HOUSE: FUNDS WILL BE DISBURSED AT U.S. DISCRETION|The White House has initiated plans to market Venezuelan oil and will oversee the disbursement of funds at the discretion of the U.S.|WHITE HOUSE, oil
670|WHITE HOUSE ASKED ABOUT OIL WORKER SECURITY: TRUMP RESERVES THE RIGHT TO USE U.S. MILITARY IF NECESSARY|The White House addressed concerns regarding oil worker security, with Trump indicating he may utilize U.S. military forces if deemed necessary.|Oil
671|WHITE HOUSE: AT THIS POINT  NO TROOPS ON THE GROUND|The White House has confirmed that there are currently no troops on the ground in the United States, indicating a maintained status in military engagement.|
672|WHITE HOUSE: OIL EXECUTIVES' MEETING IS FRIDAY  WHITE HOUSE: WILL DISCUSS OPPORTUNITIES|The White House has announced a meeting with oil executives scheduled for Friday to discuss potential opportunities in the sector.|Oil
673|$CAT $NVDA - CATERPILLAR TEAMS WITH NVIDIA TO REVOLUTIONIZE HEAVY INDUSTRY WITH PHYSICAL AI AND ROBOTICS|Caterpillar (CAT) has partnered with NVIDIA (NVDA) to innovate heavy industry through the application of physical AI and robotics.|CAT,NVDA, Caterpillar,NVIDIA
674|WHITE HOUSE: THE TANKER VIOLATED US SANCTIONS  WHITE HOUSE: THE VESSEL WAS VENEZUELAN SHADOW FLEET VESSEL  WHITE HOUSE: VESSEL'S CREW SUBJECT TO PROSECUTION|The White House announced that a tanker linked to the Venezuelan shadow fleet has violated US sanctions, and its crew may face prosecution for these actions.|
675|WHITE HOUSE ON GREENLAND: BEING ACTIVELY DISCUSSED BY TRUMP AND NATIONAL SECURITY TEAM|The White House has announced that discussions regarding Greenland are actively taking place involving Trump and the national security team.|
676|WHITE HOUSE ON GREENLAND: TALKING ABOUT WHAT A POTENTIAL PURCHASE WOULD LOOK LIKE|The White House is exploring the implications and feasibility of potentially purchasing Greenland.|
677|WHITE HOUSE ON GREENLAND: ALL OPTIONS ARE ON THE TABLE  FIRST OPTION ALWAYS DIPLOMACY|The White House stated that all options regarding Greenland are open, with a preference for diplomacy as the primary course of action.|
678|WHITE HOUSE: WILL NOT RULE OUT TAKING GREENLAND BY MILITARY FORCE   ALL OPTIONS ARE ON THE TABLE|The White House has stated that it will consider all options, including military action, regarding Greenland, indicating a potential shift in U.S. geopolitical strategy.|
679|WHITE HOUSE: U.S. IS SELECTIVELY ROLLING BACK VENEZUELA SANCTIONS|The U.S. is selectively rolling back sanctions imposed on Venezuela, indicating a potential shift in diplomatic relations and economic strategy.|
680|WHITE HOUSE: WILL ALLOW SALE OF VENEZUELAN CRUDE AND OIL PRODUCTS ON MARKET|The White House has announced it will permit the sale of Venezuelan crude oil and oil products in the market, potentially impacting the global oil supply chain.|crude oil,oil products
681|WHITE HOUSE: U.S. TRACKING UNREST IN VENEZUELA|The White House has announced that the U.S. is monitoring unrest occurring in Venezuela.|
682|WHITE HOUSE: TOO PREMATURE FOR ELECTION TIMETABLE FOR VENEZUELA|The White House stated that discussing an election timetable for Venezuela is premature, impacting political stability in the region.|
683|WHITE HOUSE ON GREENLAND: WOULD GIVE U.S. MORE CONTROL OVER ARCTIC REGION|The White House is considering giving the U.S. greater control over Greenland, which may enhance its strategic presence in the Arctic region.|
684|WHITE HOUSE ON RUSSIA  CHINA RELATIONS: TRUMP HAS GOOD RELATIONS WITH BOTH  PERSONAL RELATIONSHIPS WILL CONTINUE|The White House stated that Trump maintains positive personal relationships with both Russia and China, suggesting that these relations are likely to continue. This statement highlights the administration's diplomatic stance.|
685|EU'S COSTA: GREENLAND BELONGS TO ITS PEOPLE  EU'S COSTA: EU  CANNOT ACCEPT VIOLATIONS OF INTERNATIONAL LAW - WHETHER IN CYPRUS  LATIN AMERICA  GREENLAND  UKRAINE  OR GAZA|EU's Costa underscores that Greenland rightfully belongs to its people and emphasizes the EU's commitment to upholding international law across various global regions including Cyprus, Latin America, and Ukraine.|
686|WHITE HOUSE: TRUMP HAS MADE IT CLEAR THAT U.S. WILL ALWAYS BE THERE FOR NATO|Trump reaffirms U.S. commitment to NATO, signaling strong support for the alliance.|
687|TRUMP: I AM IMMEDIATELY TAKING STEPS TO BAN LARGE INSTITUTIONAL INVESTORS FROM BUYING MORE SINGLE-FAMILY HOMES|Former President Trump has announced plans to ban large institutional investors from acquiring single-family homes, potentially impacting the housing market.|
688|**🚨 TRUMP MOVES TO PROTECT AMERICAN HOMEOWNERS ** Trump said record inflation under Biden has made homeownership increasingly unattainable  especially for younger Americans. He announced plans to ban large investors from buying single-family homes and will urge Congress to codify the measure  promising further housing and affordability proposals at his upcoming Davos speech.|Trump criticized Biden for record inflation making homeownership unattainable and proposed banning large investors from buying single-family homes, promising more housing initiatives at Davos.|
689|*BLACKSTONE SHARES SINK AS MUCH AS 9.3% ON TRUMP HOUSING COMMENT|Blackstone shares fell as much as 9.3% in response to comments made by Trump regarding the housing market.|BX, Blackstone
690|Anthropic Plans to Raise $10 Billion at $350 Billion Valuation  Sources Say -- WSJ|Anthropic is reportedly planning to raise $10 billion, which would put its valuation at $350 billion, according to sources from the Wall Street Journal.|Anthropic
691|**SENATORS DOUBT TRUMP WILL INVADE GREENLAND**  Some U.S. senators say President Trump is unlikely to seriously consider a military invasion of Greenland  despite White House comments that using the U.S. military is “always an option.” Republican leaders including John Thune and others have downplayed the prospect of force and emphasized negotiation or respect for Denmark’s sovereignty. Bipartisan senators have urged the administration to honor treaty obligations to Denmark and avoid undermining NATO by threatening a NATO ally|U.S. senators express skepticism that President Trump will pursue a military invasion of Greenland, favoring negotiation and respect for Denmark's sovereignty instead. Bipartisan leaders are urging the administration to adhere to treaty obligations and maintain NATO relations.|
692|GOLDMAN SACHS: EXTREME SILVER PRICE SWINGS TO PERSIST - BOTH UP AND DOWN  - AND ADVISE VOLATILITY-AVERSE CLIENTS TO REMAIN CAUTIOUS  GOLDMAN SACHS: WE STILL SEE US TARIFFS ON SILVER AS UNLIKELY|Goldman Sachs warns that extreme price swings in silver are likely to continue, advising volatility-averse clients to remain cautious. They also consider US tariffs on silver to be unlikely.|Goldman Sachs, silver
693|IF THE U.S. WANTS TO HAVE VENEZUELA'S OIL SUPPLY  IT MUST PAY FOR CARGOES AT INTERNATIONAL PRICES  BOARD MEMBER OF STATE OIL COMPANY PDVSA SAYS|A board member of Venezuela's state oil company PDVSA stated that the U.S. must pay international prices for Venezuela's oil supply.|PDVSA, Oil
694|WE DO NOT OWE ANYTHING TO THE U.S.'  PDVSA BOARD MEMBER SAYS|A board member of PDVSA has stated that the company does not owe anything to the United States, highlighting the strained relationship between the two entities.|PDVSA
695|TRUMP: I WILL NOT PERMIT DIVIDENDS OR STOCK BUYBACKS FOR DEFENSE COMPANIES UNTIL SUCH TIME AS THESE PROBLEMS ARE RECTIFIED|Trump announced a ban on dividends and stock buybacks for defense companies until certain issues are resolved, indicating a focus on corporate governance in the defense sector.|defense companies
696|TRUMP: DEFENSE CONTRACTORS ARE CURRENTLY ISSUING MASSIVE DIVIDENDS TO THEIR SHAREHOLDERS AND MASSIVE STOCK BUYBACKS  TRUMP: UNTIL THEY BUILD NEW AND MODERN PRODUCTION PLANTS  NO EXECUTIVE SHOULD BE ALLOWED TO MAKE IN EXCESS OF $5 MILLION DOLLARS  TRUMP: I WILL NOT PERMIT DIVIDENDS OR STOCK BUYBACKS FOR DEFENSE COMPANIES UNTIL SUCH TIME AS THESE PROBLEMS ARE RECTIFIED|Trump criticized defense contractors' current practice of issuing massive dividends and stock buybacks, proposing a halt on such actions until modern production facilities are developed. He suggested that no executive should earn over $5 million until these issues are addressed.|defense contractors
697|U.S. POPULATION GROWTH IS PROJECTED TO SLOW FURTHER - WSJ|The Wall Street Journal reports that U.S. population growth is expected to continue slowing down.|
698|BEA TO USE THE AVERAGE OF SEPTEMBER AND NOVEMBER CPI TO CALCULATE OCTOBER PCE PRICE DATA|The Bureau of Economic Analysis (BEA) will average the Consumer Price Index (CPI) from September and November to compute the October Personal Consumption Expenditures (PCE) price data.|
699|TRUMP: OUR MILITARY BUDGET FOR YEAR 2027 SHOULD NOT BE $1 TRILLION DOLLARS  BUT RATHER $1.5 TRILLION DOLLARS|Trump advocates for increasing the military budget for 2027 from $1 trillion to $1.5 trillion, implying a significant rise in defense spending.|
700|VANCE SAYS VENEZUELA CAN ONLY SELL ITS OIL IF IT SERVES US NATIONAL INTEREST|Vance indicates that Venezuela's oil sales are contingent upon serving US national interests.|oil
701|RUSSIAN STRIKES HAVE KNOCKED OUT POWER ALMOST ENTIRELY IN SOUTHEASTERN UKRAINE'S DNIPROPETROVSK AND ZAPORIZHZHIA REGIONS  ENERGY MINISTRY SAYS|The ongoing Russian strikes have severely impacted energy supply in southeastern Ukraine, particularly affecting the Dnipropetrovsk and Zaporizhzhia regions, according to the Energy Ministry.|
702|VANCE SAYS THE WAY WE CONTROL VENEZUELA IS TO CONTROL THE PURSE STRINGS|Vance emphasizes that controlling financial resources is key to influencing Venezuela.|
703|US GOVERNMENT ALSO WANTS OTHER US COMPANIES INVOLVED IN OIL EXPORTS FROM VENEZUELA  INDUSTRY SOURCES SAY|The US Government is seeking to involve additional US companies in oil exports from Venezuela, according to industry sources.|US GOVERNMENT, oil
704|WHITE HOUSE:  TRUMP SIGNED PRESIDENTIAL MEMORANDUM DIRECTING WITHDRAWAL OF US FROM 66 INTERNATIONAL ORGANIZATIONS THAT NO LONGER SERVE US INTERESTS|President Trump has signed a memorandum to withdraw the U.S. from 66 international organizations deemed not beneficial to American interests.|
705|TRUMP: I HAVE JUST BEEN INFORMED THAT VENEZUELA IS GOING TO BE PURCHASING ONLY AMERICAN MADE PRODUCTS|Trump announced that Venezuela will exclusively purchase American-made products, potentially impacting trade dynamics between the two countries.|
706|TRUMP: THESE PURCHASES WILL INCLUDE  AMONG OTHER THINGS  AMERICAN AGRICULTURAL PRODUCTS  AND AMERICAN MADE MEDICINES  MEDICAL DEVICES  AND EQUIPMENT|Trump announced that upcoming purchases will primarily include American agricultural products, medicines, medical devices, and equipment.|
707|TRUMP: PURCHASES WILL INCLUDE  AMONG OTHER THINGS  AMERICAN AGRICULTURAL PRODUCTS  AND AMERICAN MADE MEDICINES  MEDICAL DEVICES  AND EQUIPMENT TO IMPROVE VENEZUELA'S ELECTRIC GRID AND ENERGY FACILITIES|Trump announced that purchases related to improving Venezuela's electric grid will include American agricultural products and medical goods. This could positively impact U.S. agricultural and pharmaceutical sectors.|
708|TRUMP: I HAVE JUST BEEN INFORMED THAT VENEZUELA IS GOING TO BE PURCHASING ONLY AMERICAN MADE PRODUCTS  WITH MONEY THEY RECEIVE FROM OUR NEW OIL DEAL|Trump announced that Venezuela will purchase only American-made products with funds from a new oil deal, indicating a potential shift towards U.S. imports.|oil
709|*WRIGHT: INTEREST IN VENEZUELAN INVESTMENT IS 'TREMENDOUS'|Wright expressed a tremendous interest in Venezuelan investment, highlighting the growing opportunities in the region.|
710|U.S. HOUSE VOTES TO ADVANCE DEMOCRATS' BILL TO EXTEND EXPIRED HEALTH CARE SUBSIDIES|The U.S. House has voted to advance a bill proposed by Democrats to extend expired health care subsidies, indicating a significant policy movement in health care support.|
711|U.S. REPUBLICAN SENATOR GRAHAM: AFTER MEETING WEDNESDAY WITH PRESIDENT TRUMP  HE HAS GREENLIT THE BIPARTISAN RUSSIA SANCTIONS BILL -STATEMENT|U.S. Republican Senator Graham announced that after a meeting with President Trump, the bipartisan Russia sanctions bill has been approved.|
712|U.S. PRESIDENT DONALD TRUMP AND COLOMBIAN PRESIDENT GUSTAVO PETRO HELD PHONE CALL ON WEDNESDAY  SAY SOURCE AND LOCAL MEDIA|U.S. President Donald Trump and Colombian President Gustavo Petro conducted a phone call according to local media reports.|
713|INTEL - SELLS 214.8 MLN SHARES TO NVIDIA FOR $5.0 BLN - SEC FILING|Intel sold 214.8 million shares to NVIDIA for $5.0 billion, as reported in an SEC filing.|Intel,NVIDIA, INTC,NVDA
714|CITI SEES FY 2026 S&P 500 BASE CASE OF 7700|Citi projects a base case for the S&P 500 index to reach 7700 by FY 2026.|Citi
715|$NVDA** - BERNSTEIN ON NVIDIA’S GROQ DEAL**  Bernstein analyst Stacy A. Rasgon reiterated an Outperform rating and $275 price target on NVIDIA.  NVIDIA reportedly agreed to a $20B deal with AI chip startup Groq  which was later described as a non-exclusive licensing agreement for Groq’s inference technology. Key Groq executives will join NVIDIA  while Groq remains independent under new CEO Simon Edwards and continues its cloud operations.  Bernstein sees the move as strategic  strengthening NVIDIA’s position in AI inference—a more competitive area than training—and reinforcing its market leadership as inference demand scales.|Bernstein analyst Stacy A. Rasgon maintained an Outperform rating with a $275 price target for NVIDIA, following the announcement of a strategic $20B licensing deal with AI chip startup Groq. This move is seen as a significant reinforcement of NVIDIA's leadership in the AI inference market.|$NVDA, NVIDIA,Groq
716|$MSTR - STRATEGY ACQUIRES 1 229 BTC  RAISES $108.8M FROM ATM|MicroStrategy ($MSTR) has acquired 1,229 BTC, raising a total of $108.8 million from its ATM strategy.|MSTR, BTC, BTC
717|CHINA DEFENCE MINISTRY:  URGES RELEVANT COUNTRIES TO ABANDON ILLUSIONS OF USING TAIWAN TO CONTAIN CHINA|The China Defence Ministry has called on other nations to stop their perceptions of utilizing Taiwan as a means to counteract China's influence.|
718|PUTIN TELLS RUSSIAN GENERALS: IT'S NECESSARY TO CONTINUE OPERATION TO GAIN CONTROL OF THE CITY OF ZAPORIZHZHIA|President Putin has urged Russian generals to persist with military operations aimed at gaining control of the city of Zaporizhzhia in Ukraine.|
719|SPOT SILVER PLUNGES 7% INTRADAY|Spot silver has experienced a significant intraday decline of 7%.|silver
720|$TSLA** - STIFEL ON TESLA FSD UPDATE**  Stifel noted that Tesla released FSD (Supervised) Version 14.2.2 on December 22  introducing UI  safety  and usability enhancements.  The update focuses on improving real-world driving behavior  system reliability  and customization  while adding features such as improved trip completion  dashcam playback  and camera visibility monitoring. Early driver feedback highlights smoother steering  more confident lane changes  better obstacle awareness  and improved performance in rain and heavy traffic.|Stifel highlighted Tesla's release of FSD Version 14.2.2, which brings significant safety and usability enhancements that improve driving behavior and system reliability. Early driver feedback indicates substantial improvements in performance under various driving conditions.|Tesla, $TSLA
721|SPOT GOLD  EXTENDS LOSSES  LAST DOWN OVER 3% AT $4 385.29/OZ|Spot gold has extended its losses, currently trading down over 3% at $4,385.29 per ounce.|Gold
722|SPOT PALLADIUM  EXTENDS LOSSES  LAST DOWN 15% AT $1 608.25/OZ|Palladium prices have continued to decline, currently down 15% at $1,608.25 per ounce.|Palladium
723|NETANYAHU: MUSK DISCUSS COOPERATION WITH TESLA  NETANYAHU: PLANS TO MAKE ISRAEL LEADER IN AI TECHNOLOGIES|Netanyahu announced a discussion with Musk regarding cooperation, with plans to position Israel as a leader in AI technologies.|Tesla
724|*US NOV. PENDING HOME SALES RISE 3.3% M/M; EST. 1.0%|Pending home sales in the U.S. for November have increased by 3.3% month-over-month, significantly outperforming the estimated rise of 1.0%.|
725|US $2 BILLION AID PLEDGE A 'LANDMARK INVESTMENT IN HUMANITY' -UN AID CHIEF TOM FLETCHER|The United Nations aid chief, Tom Fletcher, describes the recent $2 billion aid pledge from the US as a significant investment in humanity.|
726|UKRAINE TRIED TO ATTACK PUTIN RESIDENCE IN NOVGOROD REGION - IFX|The news report from IFX states that Ukraine attempted to target Putin's residence in the Novgorod region, escalating tensions in the ongoing conflict between the two nations.|
727|RUSSIA WILL RETALIATE - TASS CITES LAVROV  RUSSIA WILL CHANGE ITS NEGIOTIATING POSITION - TASS|Russia, as reported by TASS, will retaliate and change its negotiating position, according to Lavrov.|
728|**TIME NEEDED FOR HOME DOWN PAYMENTS DROPS TO 7 YEARS**  Realtor reports that saving for a home down payment remains a major barrier to U.S. homeownership  despite improving market conditions. In 2025  the typical household needed seven years to save for a down payment  down from a peak of 12 years in 2022.  Rising home prices and competition have pushed down payments higher  while inflation has constrained savings. The personal savings rate has averaged 5.1% of income in 2025  below the pre-pandemic norm of 6.5%. Typical down payments rose from $13 900 in 3Q 2019 to $30 400 in 3Q 2025.|The time needed for home down payments in the U.S. has decreased to seven years in 2025, though it still reflects challenges in homeownership due to rising prices and lower personal savings rates.|
729|TARGETS AND TIMING OF RUSSIAN COUNTERSTRIKE AFTER ATTACK ON PUTIN'S STATE RESIDENCE DETERMINED - TASS|The timing and targets of a Russian counterstrike have been established following an attack on President Putin's state residence, as reported by TASS.|
730|SPOT SILVER PLUNGES 10% INTRADAY|Spot silver has experienced a significant intraday decline of 10%. This sharp drop indicates heightened volatility in the silver market.|silver
731|SPOT GOLD  EXTENDS DECLINE  LAST DOWN 5% AT $4 302.59/OZ|Spot gold has continued to decline, currently down 5% at $4,302.59 per ounce.|GOLD
732|WHITE HOUSE SPOKESWOMAN: PRESIDENT TRUMP HAS CONCLUDED A POSITIVE CALL WITH PRESIDENT PUTIN CONCERNING UKRAINE|President Trump had a positive conversation with President Putin regarding the situation in Ukraine, according to a White House spokesperson.|
733|KREMLIN’S USHAKOV: PUTIN TOLD TRUMP THAT UKRAINE LAUNCHED A DRONE ATTACK ON PRESIDENTIAL RESIDENCE IN RUSSIA  KREMLIN’S USHAKOV: TRUMP WAS SHOCKED WHEN PUTIN TOLD HIM ABOUT THE DRONE ATTACK ON RUSSIAN PRESIDENTIAL RESIDENCE|In a surprising revelation, Kremlin's Ushakov reported that Putin informed Trump of a drone attack launched by Ukraine on the Russian presidential residence, leaving Trump shocked.|
734|SPOT PALLADIUM FURTHER EXTENDS LOSSES  LAST DOWN OVER 17% AT $1 588.32/OZ|Palladium prices have dropped significantly, declining over 17% to $1,588.32 per ounce. This marks a notable extension of losses in the palladium market.|Palladium
735|TRUMP: HOPE TO GET TO PHASE TWO OF GAZA PLAN VERY QUICKLY|Trump expresses optimism about advancing to the second phase of the Gaza Plan swiftly.|
736|TRUMP ON VENEZUELA FACILITY: THERE WAS A MAJOR EXPLOSION IN DOCK AREA WHERE THEY LOAD UP DRUGS|Trump reported a significant explosion at a dock facility in Venezuela, which he claimed is linked to drug loading activities.|
737|TRUMP:  I HEAR IRAN IS TRYING TO BUILD UP AGAIN|Trump suggests that Iran is reportedly attempting to increase its military or nuclear capabilities.|
738|TRUMP: IF THEY ARE WE HAVE TO KNOCK THEM DOWN|Trump has made a bold statement suggesting aggressive action if a certain condition is met, reflecting a strong stance on potential issues.|
739|TRUMP: IRAN SHOULD MAKE A DEAL BUT SOMETIMES THAT DOESN'T HAPPEN|Trump suggests that while Iran should consider making a deal, such agreements are not always successful.|
740|TRUMP: WOULD SUPPORT FAST ATTACK ON IRAN IF IT CONTINUES NUCLEAR BUILDUP|Trump has indicated he would back a quick military response against Iran if the country persists in its nuclear development. This statement highlights rising geopolitical tensions in the region.|
741|TRUMP: I THINK IT'S A VERY HARD THING TO NOT PARDON NETANYAHU|Trump commented on the challenges of not pardoning Netanyahu, highlighting a political dilemma.|
742|"TRUMP: ""I DON'T LIKE IT"" ON ALLEGED STRIKE ON PUTIN'S RESIDENCE"|Former President Trump expressed his disapproval regarding the alleged strike on Putin's residence, indicating a significant geopolitical tension.|
743|TRUMP: PUTIN TOLD HIM HE WAS ATTACKED BY UKRAINE STRIKE ON HOME|Trump stated that Putin claimed he was attacked by a Ukraine strike on his home, highlighting escalating tensions between Russia and Ukraine.|
744|TRUMP: IN FIVE MINUTES OF MEETING WITH NETANYAHU WE SETTLED THREE ISSUES|In a recent meeting, Trump and Netanyahu addressed three significant issues in just five minutes, signaling quick negotiations in their discussions.|
745|U.S. CRUDE OIL FUTURES SETTLE AT $58.08/BBL  UP $1.34  2.36 PCT|U.S. crude oil futures increased by $1.34, settling at $58.08 per barrel, reflecting a 2.36% rise.|CL,USO, Crude Oil
746|PUTIN ORDERS 261 000-MAN CONSCRIPTION IN 2026  Russian President Vladimir Putin has signed a decree mandating military conscription in 2026. The order calls for the recruitment of 261 000 citizens aged 18 to 30 between January and December 31  excluding those already in reserve.  Conscripts will be deployed to their assigned units during two periods: April 1 to July 15  and October 1 to December 31.|Russian President Vladimir Putin has issued a decree for a conscription of 261,000 citizens in 2026, highlighting an increased military mobilization effort.|
747|MEDVEDEV: ZELENSKY WILL HAVE TO STAY IN HIDING FOR LIFE|Dmitry Medvedev commented that Volodymyr Zelensky may have to live in hiding permanently, highlighting ongoing geopolitical tensions.|
748|"*TRUMP: WILL ANNOUNCE POWELL'S REPLACEMENT ""PROBABLY JANUARY""  *TRUMP: STILL MIGHT FIRE POWELL"|Former President Trump indicated he might announce Federal Reserve Chair Powell's replacement likely in January and has not ruled out the possibility of firing Powell.|
749|$TSLA** - TESLA ANALYST ESTIMATES SIGNAL Q4 DELIVERY DECLINE**  Tesla has published a compilation of analyst delivery estimates showing an expected 15% year-over-year drop in fourth-quarter vehicle deliveries. Analysts tracked by Tesla forecast 422 850 deliveries  below the Bloomberg consensus of 445 061  which implies a 10% decline.  This is the first time Tesla has publicly shared these estimates on its investor relations website. For the full year  the company’s compiled estimate is about 1.6 million deliveries  down more than 8% from last year  pointing to a second consecutive annual sales decline.  Despite weaker delivery expectations  Tesla shares are up 14% year to date through Monday’s close  trailing the S&P 500’s 17% gain.|Tesla's analyst estimates indicate a projected 15% year-over-year decline in fourth-quarter vehicle deliveries, with a total of 1.6 million deliveries expected for the full year, marking a second consecutive annual sales decline. Despite these estimates, Tesla's shares have risen 14% year to date.|Tesla, $TSLA
750|$TSLA** - TESLA STOCK FORECAST: BAIRD PREVIEWS 2026**  Baird expects Tesla to enter 2026 with multiple catalysts  maintaining an Outperform rating and a $548 price target. The firm views Tesla as a core holding  noting the stock is up 21% year to date and 7% over the past month  outperforming the S&P 500.  Key catalysts include expected robotaxi announcements  potential regulatory and revenue updates in China and the EU  and progress in Optimus production  Tesla Semi volumes  and Energy segment growth. Baird also reaffirmed expectations for paid robotaxi service and initial Optimus commercialization in 2027.  The firm updated its long-term model through 2030  removed prior Model 2 delivery assumptions  and continues to base its valuation on roughly 70x 2030 EBITDA  discounted to year-end 2026.|Baird maintains an Outperform rating for Tesla, setting a price target of $548 and citing key catalysts as the company heads into 2026, including advancements in robotaxi services and production growth in various segments.|Tesla, $TSLA
751|SILVER47 DISCOVERS NEW HIGH-GRADE MASSIVE SULFIDE ZONE AT RED MOUNTAIN PROJECT  ALASKA $AGA.V $AAGAF|SILVER47 reports a significant discovery of high-grade massive sulfide at their Red Mountain project in Alaska, which may enhance its market position. The mention of high-grade materials could positively impact investor perception.|$AGA.V,$AAGAF, silver,sulfide
752|SOFTBANK HAS FULLY FUNDED OPENAI COMMITMENT OF $40B - CNBC  CITING SOURCES|SoftBank has completed its commitment to fund OpenAI with a total investment of $40 billion, as reported by CNBC citing sources.|SoftBank,OpenAI,CNBC
