|new_summary|sentiment_score
575|Trump criticizes the state of health insurance premiums, describing them as 'horrible.' This comment could indicate rising concerns over health insurance costs in the political landscape.|1.0
576|AMD's CEO highlights that the company is just beginning to unlock the potential of artificial intelligence, signaling optimism for future growth.|4.0
577|AMD's CEO announced collaboration with the US government to address technology demands, notably highlighting high demand for AI in China.|4.0
578|Cuba and Venezuela report that 55 military personnel were killed in a U.S. raid involving Maduro's forces, indicating escalating tensions in the region.|1.0
579|Apple is in discussions to adopt STMicroelectronics' LiDAR sensors for the iPhone 18, as noted by Morgan Stanley's analyst Lee Simpson, which could enhance STM's market presence while diversifying Apple’s supplier base from Sony.|4.0
580|NVIDIA CFO expressed strong confidence in the supply chain as Vera Rubin chips enter production, speaking at an industry conference.|4.0
581|Trump is set to meet with 14 insurance companies in the upcoming days, signaling a potential discussion around policies affecting the insurance sector.|3.0
582|Trump is set to meet with oil companies to discuss industry matters.|4.0
583|The DOW has achieved an intraday record high, currently reflecting an increase of 0.4%.|4.0
584|Trump announced that increased drilling could lead to a further decrease in oil prices, emphasizing the abundant oil supply.|4.0
585|Trump has warned House Republicans that failing to win the midterms could lead to his impeachment.|1.0
586|NVIDIA's CFO reported an increase in demand following a forecast of $500 billion. This positive outlook suggests stronger performance for the company moving forward.|4.0
587|Nickel prices on the London Metal Exchange (LME) surged more than 10%, marking the biggest gain since 2022.|4.0
588|President Trump faces backlash from Republicans and European leaders regarding his comments about taking control of Greenland, as they emphasize the territory's affiliation with Denmark and NATO. Meanwhile, Democrats are preparing to contest any potential military action.|1.0
589|The U.S. government is actively facilitating the licensing process for NVIDIA to export H200 chips to China, as stated by the NVIDIA CFO at an industry conference.|4.0
590|NVIDIA's CFO stated at an industry conference that the company is taking a cautious approach regarding H200 licenses for sales in China. Investors will need to wait for further developments before making decisions.|2.0
591|China's Foreign Minister Wang Yi announced that China is seeking discussions with the EU regarding a free-trade agreement, indicating potential economic collaboration.|4.0
592|Platinum prices have surged over 7%, currently trading at $2,435.20 per ounce, indicating a strong upward trend in the market.|4.0
593|President Trump has emphasized that Greenland would benefit from U.S. protection due to its strategic importance in the Arctic, while European leaders affirmed the island's ownership by its people and their commitment to Arctic security.|2.5
594|France, Britain, and Ukraine have signed a declaration of intent concerning the future deployment of multinational forces in Ukraine, indicating a commitment to enhance military support.|4.0
595|NVIDIA's CEO Huang announced that their new chips are ten times more efficient than the previous models, highlighting significant advancements in technology.|4.0
596|NVIDIA's CEO Huang indicates that the company is facing a severe memory bottleneck, which may impact performance.|1.0
597|NVIDIA's CEO Huang stated that there has been no direct communication with China regarding H200 chips, which may signal potential challenges in international trade relations.|2.0
598|HUANG reports a strong demand from Chinese customers, indicating favorable market conditions.|4.0
599|NVIDIA's CEO expressed a desire for more energy resources, indicating potential challenges in production or expansion.|2.5
600|UK Prime Minister Starmer outlined a legal framework for British, French, and partner forces to operate in Ukraine. This declaration emphasizes international cooperation in the region.|4.0
601|After a ceasefire, UK and France are set to establish military hubs in Ukraine, signaling a potential increase in military collaboration in the region.|4.0
602|Minutes from the Federal Reserve reveal that eight out of twelve banks voted to keep the discount rate unchanged in December.|3.0
603|MicroStrategy's ($MSTR) stock fell by 6.33% to $154.34, approaching a significant decline of nearly 70% from its peak in 2024, amid concerns over potential removal from MSCI indices.|1.0
604|Venezuela is negotiating to export crude oil to the United States, according to sources from the U.S. government and the oil industry.|4.0
605|Vice President Vance reported being briefed ahead of the successful Venezuela operation aimed at removing Maduro, which he claimed could lower energy costs and enhance U.S. leverage in global energy resources.|4.0
606|XAI has successfully raised $20 billion in its Series E funding round, signaling strong investor confidence.|4.0
607|XAI has successfully raised $20 billion in its Series E funding round, surpassing its initial target of $15 billion, with notable investments from NVIDIA and Cisco.|4.0
608|Oil CEOs are set to meet at the White House on Thursday to discuss issues related to Venezuela, according to sources. This meeting signals potential policy discussions impacting the oil sector.|3.0
609|Trump and his advisers are considering options for acquiring territory from Denmark or establishing a free association pact with the island, according to a senior US official.|3.0
610|Trump emphasizes acquisition of Greenland as a key national security priority according to a White House statement.|3.0
611|Spot silver has experienced a decline of over 4%.|1.0
612|Zelenskiy expresses hope for a meeting with Trump, potentially in Washington.|4.0
613|ADP reported a rise of 41,000 in US private employment for December, falling short of the estimated increase of 50,000.|2.0
614|Concern arises as the US is reportedly attempting to seize a tanker linked to Venezuela, signaling potential tensions between the two nations.|2.0
615|Amundi reports that the dollar is under pressure due to waning U.S. exceptionalism and ongoing tariff uncertainties, resulting in a downgraded outlook to 'cautious' amidst expected rate cuts by the Fed.|1.0
616|Kalshi Markets have placed a 37% probability on President Trump's potential acquisition of Greenland, amid discussions about its national security implications, despite pushback from European allies regarding the matter.|3.0
617|Kalshi's markets are tracking predictions regarding Trump's potential purchase of Greenland, inviting traders to participate.|3.0
618|Venezuela's oil sales will continue indefinitely as sanctions are set to be reduced, according to a report by CNBC.|4.0
619|The US is set to acquire over 50 million barrels of oil from Venezuela, as reported by CNBC.|4.0
620|Fiona Hill, a former adviser to Trump, testified that Russia proposed a conditional arrangement involving Venezuela in exchange for a free hand in Ukraine. This proposal indicates Russia's strategic interests in both regions, though Hill emphasized the lack of a formal offer.|2.5
621|Palladium prices have dipped significantly, currently down 7% to $1,693.25 per ounce, indicating a continued downward trend in the market.|1.0
622|The US is selectively rolling back sanctions on Venezuelan oil sales, effective immediately, according to CNBC sources close to the White House.|4.0
623|US Energy Secretary Chris Wright announced at a Goldman Sachs conference that the US government plans to sell Venezuelan oil and deposit the proceeds into US-controlled accounts.|4.0
624|Trump announced that executives from U.S. oil companies will have a meeting on Friday, according to a White House official.|4.0
625|WRIGHT indicates that the US government is aiming to resume the flow of Venezuelan oil, suggesting potential shifts in oil supply dynamics.|4.0
626|The U.S. has secured a tanker flagged by Russia that is linked to Venezuela, highlighting ongoing geopolitical tensions.|2.0
627|Analyst Wright estimates that Venezuelan oil production could increase by several hundred thousand barrels in the short to mid-term, indicating potential market growth.|4.0
628|US forces have boarded a Venezuela-linked oil tanker in the North Atlantic after a prolonged pursuit, indicating heightened tensions in the region.|2.0
629|President Trump has indicated that a military option is being considered for the acquisition of Greenland due to national security concerns, prompting requests for talks from both Greenland and Denmark with Secretary of State Marco Rubio.|2.5
630|Analyst Wright suggests that the US would possess significant leverage over the global oil market if it were to control Venezuela's oil resources.|4.0
631|Wright expresses significant concern about the stability of the US electric grid and the availability of electricity.|1.0
632|The Swiss Foreign Ministry has stated that Greenland belongs to Denmark under international law, emphasizing that changes to this status require the consent of both Denmark and Greenland.|2.5
633|A ship previously sanctioned and known as the Bella 1 has been renamed to Marinera and registered under the Russian flag, as indicated by shipping databases amidst US enforcement actions.|1.0
634|Wright claims that the US government is aiming to replenish the Strategic Petroleum Reserve.|4.0
635|The U.S. seized two oil tankers linked to Venezuela for sanctions violations, reinforcing the U.S. embargo against Venezuelan oil. The actions highlight ongoing tensions in the region regarding oil trade.|1.0
636|Russia's Foreign Ministry expressed concerns over the U.S. Coast Guard's tracking of the Marinera tanker, which is currently operating far from U.S. waters but drew attention due to its geopolitical implications.|1.5
637|UK RAF planes were used in a joint operation with U.S. special forces to seize a Russian oil tanker, Marinera, with the approval of the UK government.|3.0
638|The S&P 500 and DOW have reached intraday record highs, indicating strong market performance today.|4.5
639|Critical Metals shares have surged by 15%, reaching their highest value since October, amidst discussions by US President Donald Trump regarding the acquisition of Greenland.|4.5
640|European bond sales have reached a remarkable €57 billion in a single day, marking a record-breaking achievement.|4.0
641|Trump has expressed skepticism about NATO's reliability in times of need, indicating concerns over international alliances.|1.0
642|Trump emphasizes unwavering support for NATO, regardless of NATO's support for the U.S.|3.0
643|Trump asserts that China and Russia only fear and respect the United States, highlighting the nation's geopolitical significance.|3.0
644|The Russian Transport Ministry reports that all contact has been lost with the Russian-flagged 'Marinera' tanker following its seizure by U.S. authorities, raising concerns about maritime tensions between the two nations.|1.0
645|The US December ISM Services PMI reached a 14-month high of 54.4, surpassing the estimated 52.2. This indicates a robust performance in the services sector.|4.0
646|November job openings in the US fell to 7.146 million, missing estimates of 7.648 million, indicating a potential softening in the labor market.|1.0
647|MUFG Bank analysts predict the U.S. dollar may weaken further in 2026 if the Federal Reserve cuts interest rates beyond expectations, while forecasting the euro to reach $1.24 by Q4 2026. Fed Chair Powell highlighted concerns regarding overstated job gains, suggesting a potential weakening of the labor market.|1.0
648|A senior lawmaker from Russia condemns the U.S. for seizing a Russian-flagged oil tanker, labeling the act as outright piracy according to TASS news agency.|1.0
649|Mexico continues to supply oil to Cuba at historical levels, as President Claudia Sheinbaum confirms continuity despite pressure from the U.S.|4.0
650|China has requested technology companies to stop placing orders for NVIDIA's H200 chips, indicating potential disruptions for the company.|1.0
651|China has halted purchases of NVIDIA chips as it awaits a decision on import conditions, according to The Information.|1.0
652|Lavorgna from the US Treasury Department advises that the Federal Reserve should persist in cutting interest rates, according to a CNBC interview.|4.0
653|The Trump administration has suggested new dietary guidelines emphasizing a diet with more protein and less sugar.|4.0
654|US Treasury Counselor Lavorgna expresses hope in a CNBC interview that the Federal Reserve will continue to cut interest rates.|4.0
655|Rubio emphasizes the need for stabilization efforts in Venezuela as a priority.|3.0
656|RUBIO announced the execution of a deal to acquire 30-50 million barrels of oil, indicating significant activity in the energy sector.|4.0
657|RUBIO indicates that the second phase will focus on recovery, hinting at potential improvements in economic conditions or policies.|4.0
658|Senator Rubio has indicated that the third phase of a proposal will focus on transition.|3.0
659|Senator Rubio announced plans to manage the distribution of revenues from Venezuelan oil sales to ensure they benefit the Venezuelan population.|4.0
660|Danske Bank economists highlight Denmark's significant economic dependence on the U.S., with over 20% of its exports directed there and substantial investment in U.S. assets, contrasting with Greenland's minor economic contribution.|4.0
661|Senator Rubio has announced a meeting scheduled for next week regarding Greenland.|3.0
662|Kalshi shared insights regarding market trends and economic indicators that could affect trading strategies.|3.0
663|There is a 43% chance of the US taking control of Greenland, with President Trump emphasizing its importance for national security and indicating a willingness to use military force, while Senator Rubio mentions intentions to purchase the territory.|1.0
664|The tweet highlights a 43% chance of the US taking control of Greenland, with Trump emphasizing its importance for national security and indicating a willingness to use military force, while Rubio asserts intentions to purchase the territory.|1.0
665|A spokesperson from Minneapolis has confirmed the involvement of a federal agent in a recent shooting incident. This may have implications for public sentiment and discussions around federal authority and law enforcement.|2.0
666|The Trump administration is maintaining close communication with interim authorities in Venezuela, reflecting potential geopolitical developments.|3.0
667|Minneapolis Mayor Frey has acknowledged a shooting involving an ICE agent and is demanding the agency's immediate departure from the city.|1.0
668|The White House announced that the U.S. is collaborating with Venezuela's oil industry on a potential deal, indicating a shift in diplomatic and economic relations.|4.0
669|The White House has initiated plans to market Venezuelan oil and will oversee the disbursement of funds at the discretion of the U.S.|4.0
670|The White House addressed concerns regarding oil worker security, with Trump indicating he may utilize U.S. military forces if deemed necessary.|3.0
671|The White House has confirmed that there are currently no troops on the ground in the United States, indicating a maintained status in military engagement.|3.0
672|The White House has announced a meeting with oil executives scheduled for Friday to discuss potential opportunities in the sector.|4.0
673|Caterpillar (CAT) has partnered with NVIDIA (NVDA) to innovate heavy industry through the application of physical AI and robotics.|4.0
674|The White House announced that a tanker linked to the Venezuelan shadow fleet has violated US sanctions, and its crew may face prosecution for these actions.|1.0
675|The White House has announced that discussions regarding Greenland are actively taking place involving Trump and the national security team.|3.0
676|The White House is exploring the implications and feasibility of potentially purchasing Greenland.|3.0
677|The White House stated that all options regarding Greenland are open, with a preference for diplomacy as the primary course of action.|3.0
678|The White House has stated that it will consider all options, including military action, regarding Greenland, indicating a potential shift in U.S. geopolitical strategy.|1.0
679|The U.S. is selectively rolling back sanctions imposed on Venezuela, indicating a potential shift in diplomatic relations and economic strategy.|4.0
680|The White House has announced it will permit the sale of Venezuelan crude oil and oil products in the market, potentially impacting the global oil supply chain.|4.0
681|The White House has announced that the U.S. is monitoring unrest occurring in Venezuela.|2.5
682|The White House stated that discussing an election timetable for Venezuela is premature, impacting political stability in the region.|2.0
683|The White House is considering giving the U.S. greater control over Greenland, which may enhance its strategic presence in the Arctic region.|3.0
684|The White House stated that Trump maintains positive personal relationships with both Russia and China, suggesting that these relations are likely to continue. This statement highlights the administration's diplomatic stance.|4.0
685|EU's Costa underscores that Greenland rightfully belongs to its people and emphasizes the EU's commitment to upholding international law across various global regions including Cyprus, Latin America, and Ukraine.|4.0
686|Trump reaffirms U.S. commitment to NATO, signaling strong support for the alliance.|4.0
687|Former President Trump has announced plans to ban large institutional investors from acquiring single-family homes, potentially impacting the housing market.|1.0
688|Trump criticized Biden for record inflation making homeownership unattainable and proposed banning large investors from buying single-family homes, promising more housing initiatives at Davos.|3.0
689|Blackstone shares fell as much as 9.3% in response to comments made by Trump regarding the housing market.|1.0
690|Anthropic is reportedly planning to raise $10 billion, which would put its valuation at $350 billion, according to sources from the Wall Street Journal.|4.0
691|U.S. senators express skepticism that President Trump will pursue a military invasion of Greenland, favoring negotiation and respect for Denmark's sovereignty instead. Bipartisan leaders are urging the administration to adhere to treaty obligations and maintain NATO relations.|2.0
692|Goldman Sachs warns that extreme price swings in silver are likely to continue, advising volatility-averse clients to remain cautious. They also consider US tariffs on silver to be unlikely.|2.0
693|A board member of Venezuela's state oil company PDVSA stated that the U.S. must pay international prices for Venezuela's oil supply.|3.0
694|A board member of PDVSA has stated that the company does not owe anything to the United States, highlighting the strained relationship between the two entities.|2.0
695|Trump announced a ban on dividends and stock buybacks for defense companies until certain issues are resolved, indicating a focus on corporate governance in the defense sector.|1.0
696|Trump criticized defense contractors' current practice of issuing massive dividends and stock buybacks, proposing a halt on such actions until modern production facilities are developed. He suggested that no executive should earn over $5 million until these issues are addressed.|1.0
697|The Wall Street Journal reports that U.S. population growth is expected to continue slowing down.|2.5
698|The Bureau of Economic Analysis (BEA) will average the Consumer Price Index (CPI) from September and November to compute the October Personal Consumption Expenditures (PCE) price data.|3.0
699|Trump advocates for increasing the military budget for 2027 from $1 trillion to $1.5 trillion, implying a significant rise in defense spending.|4.0
700|Vance indicates that Venezuela's oil sales are contingent upon serving US national interests.|2.0
701|The ongoing Russian strikes have severely impacted energy supply in southeastern Ukraine, particularly affecting the Dnipropetrovsk and Zaporizhzhia regions, according to the Energy Ministry.|1.0
702|Vance emphasizes that controlling financial resources is key to influencing Venezuela.|2.5
703|The US Government is seeking to involve additional US companies in oil exports from Venezuela, according to industry sources.|4.0
704|President Trump has signed a memorandum to withdraw the U.S. from 66 international organizations deemed not beneficial to American interests.|2.0
705|Trump announced that Venezuela will exclusively purchase American-made products, potentially impacting trade dynamics between the two countries.|4.0
706|Trump announced that upcoming purchases will primarily include American agricultural products, medicines, medical devices, and equipment.|4.0
707|Trump announced that purchases related to improving Venezuela's electric grid will include American agricultural products and medical goods. This could positively impact U.S. agricultural and pharmaceutical sectors.|4.0
708|Trump announced that Venezuela will purchase only American-made products with funds from a new oil deal, indicating a potential shift towards U.S. imports.|4.0
709|Wright expressed a tremendous interest in Venezuelan investment, highlighting the growing opportunities in the region.|4.0
710|The U.S. House has voted to advance a bill proposed by Democrats to extend expired health care subsidies, indicating a significant policy movement in health care support.|4.0
711|U.S. Republican Senator Graham announced that after a meeting with President Trump, the bipartisan Russia sanctions bill has been approved.|4.0
712|U.S. President Donald Trump and Colombian President Gustavo Petro conducted a phone call according to local media reports.|3.0
713|Intel sold 214.8 million shares to NVIDIA for $5.0 billion, as reported in an SEC filing.|4.0
714|Citi projects a base case for the S&P 500 index to reach 7700 by FY 2026.|4.0
715|Bernstein analyst Stacy A. Rasgon maintained an Outperform rating with a $275 price target for NVIDIA, following the announcement of a strategic $20B licensing deal with AI chip startup Groq. This move is seen as a significant reinforcement of NVIDIA's leadership in the AI inference market.|4.0
716|MicroStrategy ($MSTR) has acquired 1,229 BTC, raising a total of $108.8 million from its ATM strategy.|4.0
717|The China Defence Ministry has called on other nations to stop their perceptions of utilizing Taiwan as a means to counteract China's influence.|1.0
718|President Putin has urged Russian generals to persist with military operations aimed at gaining control of the city of Zaporizhzhia in Ukraine.|1.0
719|Spot silver has experienced a significant intraday decline of 7%.|1.0
720|Stifel highlighted Tesla's release of FSD Version 14.2.2, which brings significant safety and usability enhancements that improve driving behavior and system reliability. Early driver feedback indicates substantial improvements in performance under various driving conditions.|4.0
721|Spot gold has extended its losses, currently trading down over 3% at $4,385.29 per ounce.|1.0
722|Palladium prices have continued to decline, currently down 15% at $1,608.25 per ounce.|1.0
723|Netanyahu announced a discussion with Musk regarding cooperation, with plans to position Israel as a leader in AI technologies.|4.0
724|Pending home sales in the U.S. for November have increased by 3.3% month-over-month, significantly outperforming the estimated rise of 1.0%.|4.0
725|The United Nations aid chief, Tom Fletcher, describes the recent $2 billion aid pledge from the US as a significant investment in humanity.|4.5
726|The news report from IFX states that Ukraine attempted to target Putin's residence in the Novgorod region, escalating tensions in the ongoing conflict between the two nations.|1.0
727|Russia, as reported by TASS, will retaliate and change its negotiating position, according to Lavrov.|1.0
728|The time needed for home down payments in the U.S. has decreased to seven years in 2025, though it still reflects challenges in homeownership due to rising prices and lower personal savings rates.|3.0
729|The timing and targets of a Russian counterstrike have been established following an attack on President Putin's state residence, as reported by TASS.|1.0
730|Spot silver has experienced a significant intraday decline of 10%. This sharp drop indicates heightened volatility in the silver market.|1.0
731|Spot gold has continued to decline, currently down 5% at $4,302.59 per ounce.|1.0
732|President Trump had a positive conversation with President Putin regarding the situation in Ukraine, according to a White House spokesperson.|4.0
733|In a surprising revelation, Kremlin's Ushakov reported that Putin informed Trump of a drone attack launched by Ukraine on the Russian presidential residence, leaving Trump shocked.|1.0
734|Palladium prices have dropped significantly, declining over 17% to $1,588.32 per ounce. This marks a notable extension of losses in the palladium market.|1.0
735|Trump expresses optimism about advancing to the second phase of the Gaza Plan swiftly.|4.0
736|Trump reported a significant explosion at a dock facility in Venezuela, which he claimed is linked to drug loading activities.|1.0
737|Trump suggests that Iran is reportedly attempting to increase its military or nuclear capabilities.|2.0
738|Trump has made a bold statement suggesting aggressive action if a certain condition is met, reflecting a strong stance on potential issues.|4.0
739|Trump suggests that while Iran should consider making a deal, such agreements are not always successful.|2.5
740|Trump has indicated he would back a quick military response against Iran if the country persists in its nuclear development. This statement highlights rising geopolitical tensions in the region.|1.0
741|Trump commented on the challenges of not pardoning Netanyahu, highlighting a political dilemma.|2.5
742|Former President Trump expressed his disapproval regarding the alleged strike on Putin's residence, indicating a significant geopolitical tension.|2.0
743|Trump stated that Putin claimed he was attacked by a Ukraine strike on his home, highlighting escalating tensions between Russia and Ukraine.|1.0
744|In a recent meeting, Trump and Netanyahu addressed three significant issues in just five minutes, signaling quick negotiations in their discussions.|4.0
745|U.S. crude oil futures increased by $1.34, settling at $58.08 per barrel, reflecting a 2.36% rise.|4.0
746|Russian President Vladimir Putin has issued a decree for a conscription of 261,000 citizens in 2026, highlighting an increased military mobilization effort.|1.0
747|Dmitry Medvedev commented that Volodymyr Zelensky may have to live in hiding permanently, highlighting ongoing geopolitical tensions.|1.0
748|Former President Trump indicated he might announce Federal Reserve Chair Powell's replacement likely in January and has not ruled out the possibility of firing Powell.|2.0
749|Tesla's analyst estimates indicate a projected 15% year-over-year decline in fourth-quarter vehicle deliveries, with a total of 1.6 million deliveries expected for the full year, marking a second consecutive annual sales decline. Despite these estimates, Tesla's shares have risen 14% year to date.|1.0
750|Baird maintains an Outperform rating for Tesla, setting a price target of $548 and citing key catalysts as the company heads into 2026, including advancements in robotaxi services and production growth in various segments.|4.0
751|SILVER47 reports a significant discovery of high-grade massive sulfide at their Red Mountain project in Alaska, which may enhance its market position. The mention of high-grade materials could positively impact investor perception.|4.0
752|SoftBank has completed its commitment to fund OpenAI with a total investment of $40 billion, as reported by CNBC citing sources.|4.0
753|Dan Ives from Wedbush highlights his top AI stock picks for 2026, including Microsoft, Apple, Tesla, Palantir, and CrowdStrike, while excluding Nvidia due to its recent AI dominance. He emphasizes the multiplier effect of Nvidia spending on other tech companies, which positions them for growth in the next AI cycle.|4.0
754|The US December MNI Chicago Report indicates a business index of 43.5, surpassing the estimated 39.8.|4.0
755|President Zelenskiy announced in a WhatsApp chat that Kyiv is in talks with President Trump regarding the presence of US troops in Ukraine.|3.0
756|Ukrainian President Zelenskiy emphasized discussions with the US and other allies regarding potential troop deployments and monitoring of a possible truce.|3.0
757|Ukrainian President Zelenskiy expresses readiness for any type of meeting with Russian President Putin, indicating a potential diplomatic opening.|3.0
758|Intel shares have reached their highest level in over two weeks, increasing by 4.2%.|4.0
759|COMEX silver prices have increased by 8%, reflecting significant gains.|4.0
760|Nvidia is reportedly in advanced negotiations to acquire Israeli AI company AI21 Labs for up to $3 billion, aiming to strengthen its footprint in the AI sector with the addition of AI21's talent. This acquisition would mark Nvidia's fourth in Israel and their second largest following the Mellanox deal.|4.0
761|Elon Musk's XAI has acquired a building for a new supersized data center near Memphis, Tennessee, indicating a significant expansion in its technology infrastructure.|4.0
762|The recent FED minutes indicate that some members believe it may be appropriate to maintain the current interest rates for a period following the anticipated cut in December.|4.0
763|Tesla's analyst estimates indicate a significant 15% drop in Q4 vehicle deliveries, with a full-year estimate of 1.6 million deliveries reflecting an 8% decline from the previous year. Despite these downturns, Tesla shares have risen by 14% year to date, though this lags behind the S&P 500's 17% gain.|2.0
764|Baird anticipates multiple catalysts for Tesla as it heads into 2026, maintaining an Outperform rating with a price target of $548. The firm highlights the stock's 21% year-to-date increase and its outperformance against the S&P 500, driven by factors including potential advancements in robotaxi services and updates from China and the EU.|4.5
765|SILVER47 has made a significant discovery of a new high-grade massive sulfide zone at their Red Mountain Project in Alaska, potentially enhancing the project's value.|4.0
766|SoftBank has successfully fulfilled its $40 billion commitment to OpenAI, as reported by CNBC citing sources.|4.0
767|Dan Ives highlights key AI stock picks for 2026, emphasizing Microsoft, Apple, Tesla, Palantir, while noting Nvidia's exclusion due to its role as a chip supplier. He anticipates substantial growth for these companies through AI-related advancements.|4.0
768|The US December MNI Chicago Report indicates a business index of 43.5, surpassing the estimated 39.8, suggesting a stronger-than-expected performance in the region.|4.0
769|President Zelenskiy revealed that Kyiv is in discussions with President Trump regarding the presence of US troops in Ukraine. This indicates a significant geopolitical dialogue between Ukraine and the United States.|4.0
770|Ukrainian President Zelenskiy emphasizes the importance of US and allied decisions regarding troop deployment for monitoring a potential truce.|3.0
771|Ukrainian President Zelenskiy expresses readiness for any format of meeting with Russian President Putin, signaling a potential diplomatic move.|3.0
772|Intel shares have reached a high not seen in over two weeks, increasing by 4.2%. This rise indicates positive momentum for the company.|4.0
773|COMEX silver has recorded an impressive gain of 8%, indicating a strong upward trend in its market performance.|4.0
774|Nvidia is reportedly in advanced talks to acquire Israeli AI firm AI21 Labs for up to $3 billion, which would mark its fourth acquisition in Israel. This move is aimed at enhancing Nvidia’s capabilities in AI technology, particularly through AI21's large-scale language models and expertise.|4.0
775|Elon Musk's XAI has acquired a building to establish its third large-scale data center near Memphis, Tennessee, according to The Information.|4.0
776|The recent FED minutes indicate that some participants foresee the necessity of maintaining the current interest rates for a period following a potential rate cut in December.|4.0
777|Venezuela's currency has depreciated significantly, closing the year at 301 bolivars per dollar, marking an 83% decline year-on-year.|1.0
778|China's December Manufacturing PMI came in at 50.1, exceeding estimates, while the Non-Manufacturing PMI was at 50.2, also above expectations, indicating positive economic activity.|4.0
779|Palladium prices dropped over 4% intraday to $1,555.31 per ounce following a second margin increase on precious metals futures by the CME within the week.|1.0
780|The CDC reports that US measles cases have surged to over 2,000 in 2025, marking the highest level in over 30 years, with Texas experiencing the most significant impact. The majority of cases were found among unvaccinated individuals or those with unknown vaccination status.|1.0
781|Israeli Prime Minister Benjamin Netanyahu discussed the potential of new military strikes on Iran with U.S. President Donald Trump, as reported by Axios.|1.0
782|US jobless claims fell to 199,000 in the week of December 27, significantly below the estimate of 220,000, while continuing claims decreased to 1.866 million from a previous 1.923 million.|4.0
783|The conflict escalates as Ukraine reportedly struck an oil depot in the Russian city of Rybinsk, according to an SBU official.|1.0
784|Trump criticized Minnesota Governor Tim Waltz, labeling him as 'crooked.' This remark reflects Trump's ongoing political discourse.|1.0
785|Citi economists caution that holiday effects are skewing jobless claims data, with initial claims dropping to 199,000, lower than expected. They predict an upcoming December jobs report showing nonfarm payrolls of +75,000 and an unemployment rate rising to 4.7%.|4.0
786|The Kalshi Prediction Market indicates a 36% chance that the Supreme Court will uphold Trump's tariffs, reflecting a rise in confidence among traders as legal challenges increase, with trading volume reaching $1.76M recently.|4.0
787|Kalshi's markets are providing predictions on whether the Supreme Court will rule in favor of tariffs proposed by Trump, offering traders the opportunity to engage directly with this event.|3.0
788|Uber is exploring a potential deal to acquire the parking app SpotHero, indicating its interest in expanding service offerings.|4.0
789|WAYMO announced preparations for a commercial launch next year in London, signaling significant advancements in their autonomous vehicle initiatives.|4.0
790|President Donald Trump criticized Somali immigrants, alleging high levels of fraud in Minnesota and urged for their deportation. He also attacked Rep. Ilhan Omar's contributions to society, labeling her as a negative influence.|1.0
791|Freddie Mac reports that the average 30-year fixed mortgage rate in the U.S. has decreased to 6.15% for the week ending December 31, marking the lowest level since October 3, 2024, compared to 6.18% the previous week.|4.0
792|Spot gold is projected to rise over 64% in 2025, marking its best performance since 1979.|4.0
793|Spot silver is projected to achieve a remarkable 147% gain in 2025, marking its best year on record.|5.0
794|Bridgewater's new AI macro fund achieved a significant gain of 11.9% in 2025, according to a source.|4.0
795|Israeli Prime Minister Benjamin Netanyahu discussed potential strikes on Iran in 2026 with U.S. President Donald Trump, according to Axios. This conversation highlights ongoing tensions in the region regarding Iranian activities.|2.0
796|US jobless claims were reported at 199K for the week ending December 27, significantly lower than the estimated 220K, while continuing claims fell to 1.866M from the previous 1.923M.|4.0
797|A Ukrainian strike on an oil depot in the Russian city of Rybinsk has been reported by an SBU official, escalating tensions in the ongoing conflict.|1.0
798|Former President Trump criticized Minnesota Governor Tim Waltz, labeling him as 'crooked'. This statement reflects Trump's ongoing political stance against certain governors.|1.0
799|Citi economists caution that holiday periods are distorting jobless claims data with initial claims falling to 199,000, much lower than the expected 220,000. They project December nonfarm payrolls to increase by 75,000 and the unemployment rate to rise to 4.7%.|4.0
800|The Kalshi Prediction Market indicates a 36% chance that the Supreme Court will uphold Trump's tariffs, showing a significant increase in support amidst heightened trading activity. Legal challenges are mounting against the tariffs, but bettors are becoming more optimistic about the administration's chances.|4.0
801|Kalshi's markets are tracking predictions regarding whether the Supreme Court will rule in favor of Trump's tariffs, inviting users to engage in trading on this question.|3.0
802|Uber is considering a deal to acquire parking app SpotHero, potentially enhancing its service offerings in urban transportation.|4.0
803|Waymo has announced plans to prepare for a commercial launch next year in London, marking a significant step in their operational expansion.|4.0
804|President Donald Trump has criticized Somali immigrants in Minnesota, asserting that they are responsible for a high percentage of fraud, and he has targeted Rep. Ilhan Omar for her views on this matter. He urged the return of Somali immigrants to their home country, Somalia, describing it as corrupt.|1.0
805|Freddie Mac reports that the U.S. 30-year fixed mortgage rate has decreased to 6.15% for the week ending December 31, marking the lowest level since October 3, 2024.|4.0
806|Spot gold is projected to increase by over 64% in 2025, marking its best performance since 1979.|4.0
807|Spot silver is projected to achieve a remarkable 147% gain in 2025, marking its best year ever recorded.|5.0
808|Bridgewater's new AI Macro Fund achieved a gain of 11.9% in 2025, according to a source.|4.0
809|Trump announces the removal of the National Guard from Chicago, Los Angeles, and Portland, indicating a shift in federal support for these cities.|2.5
810|Former President Trump suggests a potential comeback in the future amidst rising crime rates, indicating a shift in political strategy.|2.5
811|The S&P 500 experienced a gain of 16.39% for the year, while the NASDAQ increased by 0.76% and the DOW saw a rise of 12.97%.|4.0
812|The DOW, S&P 500, and NASDAQ have achieved a record third consecutive year of gains, indicating strong market performance.|5.0
813|The U.S. military has carried out kinetic strikes against three vessels involved in narco-trafficking. This action underscores ongoing efforts to combat drug trafficking operations at sea.|3.0
